source,target,weight,timeset
1207,522,2,2011-06-22T23:57:27Z
1207,1226,1,2011-06-22T23:59:10Z
1207,270,1,2011-06-23T00:00:34Z
935,1240,3,2011-06-23T00:02:08Z
1240,935,3,2011-06-23T00:02:21Z
522,1207,3,2011-06-23T02:11:23Z
1100,946,2,2011-06-23T02:53:09Z
946,1100,2,2011-06-23T03:02:17Z
1230,1241,1,2011-06-23T03:31:42Z
1241,1230,1,2011-06-23T03:33:09Z
1241,1242,1,2011-06-23T03:36:55Z
1242,1241,1,2011-06-23T03:43:35Z
1226,1207,1,2011-06-23T04:19:39Z
113,1207,2,2011-06-23T04:29:36Z
1235,775,1,2011-06-23T08:36:33Z
1216,1202,1,2011-06-23T11:19:43Z
899,1239,2,2011-06-23T13:29:15Z
1239,899,2,2011-06-23T13:29:24Z
1239,1230,1,2011-06-23T13:47:23Z
1239,1243,2,2011-06-23T13:52:41Z
1243,1239,2,2011-06-23T13:56:55Z
1243,634,5,2011-06-23T15:45:20Z
923,608,2,2011-06-23T15:54:38Z
608,923,2,2011-06-23T15:55:49Z
894,350,2,2011-06-23T16:05:33Z
350,894,1,2011-06-23T16:05:40Z
537,350,1,2011-06-23T16:23:30Z
350,537,1,2011-06-23T16:28:48Z
634,1243,1,2011-06-23T16:37:37Z
1243,1226,3,2011-06-23T17:21:24Z
502,1104,2,2011-06-23T17:35:55Z
634,1244,1,2011-06-23T17:38:51Z
1084,1100,10,2011-06-23T17:46:37Z
1100,1084,10,2011-06-23T17:48:27Z
634,1107,1,2011-06-23T17:48:43Z
1107,634,1,2011-06-23T17:49:57Z
1244,634,2,2011-06-23T18:12:36Z
978,1245,2,2011-06-23T18:15:47Z
1245,978,2,2011-06-23T18:18:52Z
1226,1243,2,2011-06-23T18:28:20Z
1243,1201,2,2011-06-23T19:20:53Z
1227,634,1,2011-06-23T19:37:02Z
1227,1107,1,2011-06-23T19:37:27Z
1201,1243,5,2011-06-23T20:36:30Z
4,1246,7,2011-06-23T20:46:14Z
1207,113,1,2011-06-23T22:02:17Z
120,1247,1,2011-06-23T22:07:05Z
209,1222,2,2011-06-23T22:57:05Z
1222,209,2,2011-06-23T22:58:33Z
1247,120,1,2011-06-23T23:38:11Z
1025,978,2,2011-06-24T00:26:20Z
978,1025,2,2011-06-24T00:26:35Z
1162,1248,1,2011-06-24T00:27:15Z
1248,1162,1,2011-06-24T00:32:10Z
1100,904,2,2011-06-24T04:06:50Z
904,1100,2,2011-06-24T04:07:20Z
1243,1162,2,2011-06-24T05:52:19Z
908,1094,1,2011-06-24T05:52:42Z
1094,908,1,2011-06-24T05:54:27Z
1162,1243,1,2011-06-24T05:55:33Z
1249,1162,1,2011-06-24T06:13:30Z
1162,1249,1,2011-06-24T06:30:10Z
365,1250,1,2011-06-24T08:51:26Z
894,1252,1,2011-06-24T11:07:11Z
1252,894,1,2011-06-24T11:07:41Z
1247,1251,3,2011-06-24T11:09:24Z
1251,1247,3,2011-06-24T11:29:27Z
270,634,1,2011-06-24T13:55:29Z
634,270,1,2011-06-24T14:00:30Z
830,1253,3,2011-06-24T14:35:30Z
1253,830,3,2011-06-24T14:35:54Z
777,978,1,2011-06-24T14:43:44Z
570,1236,3,2011-06-24T16:47:57Z
561,1254,1,2011-06-24T16:57:27Z
1254,561,1,2011-06-24T17:05:47Z
1198,1197,-1,2011-06-24T18:31:32Z
1249,1255,1,2011-06-24T19:27:26Z
905,550,1,2011-06-24T19:32:23Z
1255,1249,2,2011-06-24T19:33:28Z
550,452,1,2011-06-24T19:55:26Z
452,550,1,2011-06-24T19:55:43Z
1100,452,1,2011-06-24T20:15:56Z
452,1100,1,2011-06-24T20:16:10Z
1250,365,1,2011-06-24T21:51:54Z
209,550,1,2011-06-24T21:53:48Z
550,209,1,2011-06-24T21:55:06Z
882,1256,1,2011-06-24T23:14:37Z
1256,882,1,2011-06-24T23:15:00Z
978,628,1,2011-06-24T23:54:15Z
628,978,1,2011-06-24T23:54:37Z
1220,3,-2,2011-06-25T00:05:48Z
978,777,1,2011-06-25T00:21:44Z
1162,1104,1,2011-06-25T00:57:59Z
1104,1162,1,2011-06-25T00:59:04Z
688,714,1,2011-06-25T04:12:34Z
714,688,2,2011-06-25T04:13:59Z
577,1094,1,2011-06-25T04:14:58Z
1094,577,1,2011-06-25T04:16:19Z
908,1257,10,2011-06-25T04:39:32Z
1162,781,1,2011-06-25T05:39:49Z
781,1162,1,2011-06-25T05:40:11Z
781,667,1,2011-06-25T06:19:30Z
1257,908,10,2011-06-25T06:56:07Z
1028,1226,1,2011-06-25T07:10:14Z
1226,1028,1,2011-06-25T07:17:01Z
1162,1257,1,2011-06-25T07:17:27Z
1257,1162,1,2011-06-25T07:17:56Z
1257,667,3,2011-06-25T07:19:13Z
667,781,2,2011-06-25T07:31:15Z
561,1231,1,2011-06-25T07:31:29Z
667,1257,2,2011-06-25T07:47:36Z
1231,561,1,2011-06-25T09:42:54Z
1231,642,1,2011-06-25T09:44:10Z
905,1162,1,2011-06-25T12:11:57Z
788,787,-10,2011-06-25T14:57:02Z
788,25,1,2011-06-25T14:58:14Z
1094,592,1,2011-06-25T15:17:09Z
791,1094,2,2011-06-25T15:17:13Z
1094,791,1,2011-06-25T15:17:45Z
592,1094,1,2011-06-25T15:18:20Z
1217,1198,2,2011-06-25T15:59:45Z
522,1258,1,2011-06-25T16:00:50Z
1258,522,1,2011-06-25T16:00:52Z
1198,1217,1,2011-06-25T17:22:06Z
1217,1259,1,2011-06-25T17:51:41Z
1259,1217,1,2011-06-25T17:53:18Z
1037,1260,2,2011-06-25T18:20:25Z
1260,1037,10,2011-06-25T18:20:31Z
1260,1261,10,2011-06-25T18:26:45Z
1260,1166,10,2011-06-25T18:28:46Z
1166,1260,1,2011-06-25T18:37:16Z
1257,384,1,2011-06-25T21:30:15Z
384,1257,1,2011-06-25T21:31:14Z
539,1,1,2011-06-26T05:12:27Z
1,539,1,2011-06-26T05:13:56Z
113,72,1,2011-06-26T05:32:40Z
72,113,1,2011-06-26T05:32:41Z
72,667,1,2011-06-26T05:34:24Z
667,72,1,2011-06-26T06:02:13Z
7,1166,2,2011-06-26T06:27:03Z
1262,664,1,2011-06-26T07:14:51Z
1166,7,2,2011-06-26T07:22:34Z
1217,1263,1,2011-06-26T10:53:24Z
1263,1217,1,2011-06-26T10:54:55Z
1162,1264,1,2011-06-26T12:03:42Z
1217,1264,1,2011-06-26T12:18:06Z
1264,1162,1,2011-06-26T12:41:36Z
1264,1217,1,2011-06-26T12:43:07Z
1162,1265,1,2011-06-26T14:15:38Z
1265,1162,1,2011-06-26T14:26:01Z
1162,1266,1,2011-06-26T15:06:11Z
1266,1162,1,2011-06-26T15:11:35Z
1266,1239,1,2011-06-26T15:11:56Z
1239,1266,1,2011-06-26T15:19:35Z
1237,1094,1,2011-06-26T18:25:15Z
1094,1237,1,2011-06-26T18:25:49Z
929,577,1,2011-06-26T18:59:41Z
1236,570,5,2011-06-26T20:01:04Z
304,929,1,2011-06-26T20:04:11Z
929,304,1,2011-06-26T20:04:36Z
1229,1198,1,2011-06-26T22:33:08Z
1229,1162,1,2011-06-26T23:09:12Z
1162,1229,1,2011-06-26T23:10:04Z
72,1162,1,2011-06-26T23:11:36Z
1162,72,1,2011-06-26T23:12:30Z
1198,1262,1,2011-06-26T23:15:26Z
1262,1198,1,2011-06-26T23:26:09Z
1162,353,1,2011-06-26T23:30:54Z
1162,1262,1,2011-06-26T23:39:05Z
1262,1162,1,2011-06-26T23:40:24Z
1257,923,3,2011-06-27T01:35:49Z
923,1257,1,2011-06-27T01:52:33Z
923,592,1,2011-06-27T07:13:44Z
353,493,1,2011-06-27T07:21:00Z
493,353,1,2011-06-27T07:22:21Z
592,923,1,2011-06-27T07:27:25Z
592,634,1,2011-06-27T14:36:40Z
634,592,1,2011-06-27T14:38:42Z
1162,777,1,2011-06-27T15:41:19Z
777,1162,1,2011-06-27T15:43:24Z
634,1269,1,2011-06-27T18:19:15Z
905,493,1,2011-06-27T19:54:29Z
35,945,1,2011-06-27T19:56:21Z
1269,1270,1,2011-06-27T21:01:46Z
945,7,5,2011-06-27T21:34:13Z
1239,1253,1,2011-06-27T21:51:46Z
1253,1239,1,2011-06-27T21:53:19Z
835,540,2,2011-06-27T22:10:32Z
1239,1257,3,2011-06-27T22:54:01Z
1239,777,2,2011-06-27T23:15:06Z
777,1239,1,2011-06-27T23:17:00Z
522,726,-10,2011-06-28T04:32:34Z
908,4,5,2011-06-28T05:13:03Z
4,908,5,2011-06-28T05:34:04Z
4,1257,5,2011-06-28T06:52:52Z
1162,905,1,2011-06-28T10:41:34Z
1269,1037,2,2011-06-28T14:51:37Z
1037,1269,2,2011-06-28T14:51:42Z
1162,1269,1,2011-06-28T15:18:23Z
1269,1162,1,2011-06-28T15:21:36Z
228,325,1,2011-06-28T15:27:17Z
325,228,1,2011-06-28T15:30:19Z
1162,1271,1,2011-06-28T16:53:29Z
1271,1162,1,2011-06-28T16:55:44Z
325,1272,1,2011-06-28T18:16:36Z
1272,325,1,2011-06-28T18:34:27Z
1272,1273,1,2011-06-28T18:39:11Z
1273,1272,2,2011-06-28T18:41:51Z
1037,1257,2,2011-06-28T19:02:00Z
1257,1037,2,2011-06-28T19:02:58Z
1064,1274,2,2011-06-28T19:24:24Z
917,1268,2,2011-06-28T19:38:18Z
1268,917,2,2011-06-28T19:38:38Z
1274,1064,1,2011-06-28T19:52:06Z
1270,1269,1,2011-06-28T20:11:53Z
1042,1074,-10,2011-06-28T21:18:16Z
537,1263,2,2011-06-28T22:16:42Z
1263,537,2,2011-06-28T22:27:07Z
942,1275,1,2011-06-28T23:04:55Z
1275,942,1,2011-06-28T23:14:36Z
1257,1263,2,2011-06-28T23:18:25Z
1263,1257,2,2011-06-28T23:21:53Z
786,1207,1,2011-06-29T00:18:58Z
492,729,1,2011-06-29T00:21:19Z
729,492,1,2011-06-29T00:22:15Z
908,1074,-10,2011-06-29T00:57:34Z
1257,832,-10,2011-06-29T00:59:26Z
4,832,-10,2011-06-29T01:00:07Z
1064,1276,2,2011-06-29T01:08:13Z
1276,1064,1,2011-06-29T01:09:13Z
1268,1277,1,2011-06-29T02:06:47Z
1257,1278,1,2011-06-29T02:22:56Z
1278,1257,1,2011-06-29T02:23:20Z
135,1277,-10,2011-06-29T02:25:04Z
635,1279,1,2011-06-29T03:03:50Z
1279,635,1,2011-06-29T03:07:25Z
882,635,1,2011-06-29T03:47:08Z
1043,270,2,2011-06-29T04:24:43Z
270,1043,2,2011-06-29T04:25:05Z
1165,1280,2,2011-06-29T04:34:18Z
1280,1165,2,2011-06-29T04:34:32Z
967,1074,-10,2011-06-29T04:46:51Z
1154,1043,1,2011-06-29T04:54:30Z
1043,1154,1,2011-06-29T04:55:31Z
214,1064,1,2011-06-29T04:59:10Z
1064,214,1,2011-06-29T05:00:45Z
1043,538,1,2011-06-29T05:51:27Z
538,1043,1,2011-06-29T05:53:13Z
1213,571,2,2011-06-29T06:31:00Z
882,1257,1,2011-06-29T07:26:17Z
35,923,1,2011-06-29T08:03:01Z
923,35,1,2011-06-29T08:36:48Z
1090,35,2,2011-06-29T10:11:47Z
35,1090,2,2011-06-29T10:40:51Z
7,1281,1,2011-06-29T13:05:31Z
19,904,1,2011-06-29T13:05:57Z
19,667,1,2011-06-29T13:06:07Z
1281,7,1,2011-06-29T13:06:45Z
905,1277,2,2011-06-29T14:47:54Z
882,1282,1,2011-06-29T15:08:14Z
1282,882,1,2011-06-29T15:14:44Z
537,1283,1,2011-06-29T19:31:52Z
1283,537,1,2011-06-29T19:34:32Z
1251,1284,5,2011-06-29T19:52:40Z
1284,1251,5,2011-06-29T19:52:51Z
4,713,-10,2011-06-29T20:49:53Z
4,423,-8,2011-06-29T20:51:05Z
4,62,7,2011-06-29T23:43:12Z
1257,4,9,2011-06-29T23:47:58Z
243,1281,1,2011-06-29T23:59:02Z
1257,1282,5,2011-06-29T23:59:27Z
1282,1257,5,2011-06-30T00:00:10Z
1281,243,1,2011-06-30T00:00:11Z
13,621,1,2011-06-30T00:40:51Z
621,13,1,2011-06-30T00:41:47Z
593,7,5,2011-06-30T02:35:54Z
7,593,4,2011-06-30T02:36:57Z
7,1098,6,2011-06-30T02:37:31Z
1174,270,10,2011-06-30T02:46:17Z
729,1257,3,2011-06-30T05:00:59Z
1257,729,3,2011-06-30T05:04:11Z
923,882,2,2011-06-30T06:39:53Z
882,923,3,2011-06-30T06:40:02Z
7,882,4,2011-06-30T06:43:17Z
923,1285,1,2011-06-30T06:54:30Z
1285,923,10,2011-06-30T07:00:53Z
1217,775,9,2011-06-30T18:59:12Z
941,29,1,2011-06-30T20:52:25Z
882,925,1,2011-06-30T21:22:28Z
227,925,1,2011-06-30T22:22:06Z
925,882,1,2011-06-30T22:44:49Z
925,227,1,2011-06-30T22:44:57Z
925,905,3,2011-06-30T23:33:34Z
905,925,1,2011-06-30T23:37:45Z
1147,1287,1,2011-07-01T00:06:11Z
522,664,2,2011-07-01T00:40:15Z
522,714,1,2011-07-01T01:07:16Z
664,522,1,2011-07-01T01:13:39Z
801,1131,3,2011-07-01T02:18:57Z
801,1257,5,2011-07-01T04:38:05Z
1257,801,5,2011-07-01T04:39:22Z
714,922,2,2011-07-01T04:45:11Z
1094,1242,1,2011-07-01T05:42:56Z
1242,1094,1,2011-07-01T05:43:46Z
1064,853,3,2011-07-01T05:48:26Z
1066,664,1,2011-07-01T05:57:50Z
664,1066,1,2011-07-01T06:13:27Z
853,1064,3,2011-07-01T06:14:55Z
641,715,2,2011-07-01T12:33:14Z
925,1252,1,2011-07-01T17:53:16Z
1252,925,1,2011-07-01T17:53:48Z
925,546,1,2011-07-01T18:37:16Z
775,1288,1,2011-07-01T20:16:32Z
1257,1289,2,2011-07-01T21:39:56Z
1289,1257,3,2011-07-01T21:44:15Z
546,925,2,2011-07-01T21:46:45Z
1244,1065,1,2011-07-01T22:51:22Z
735,846,3,2011-07-02T01:49:45Z
846,735,2,2011-07-02T01:52:37Z
925,1066,1,2011-07-02T01:57:04Z
1066,925,1,2011-07-02T01:59:51Z
1053,925,2,2011-07-02T02:18:18Z
925,1053,1,2011-07-02T02:19:45Z
1288,775,1,2011-07-02T09:21:32Z
309,647,2,2011-07-02T10:42:19Z
647,1290,1,2011-07-02T10:56:54Z
1290,647,1,2011-07-02T10:58:30Z
1094,261,3,2011-07-02T16:07:49Z
261,1094,2,2011-07-02T16:09:36Z
191,1291,1,2011-07-02T18:17:04Z
492,1267,1,2011-07-02T18:39:54Z
1267,492,1,2011-07-02T18:40:01Z
1291,191,1,2011-07-02T19:19:41Z
1291,1277,10,2011-07-02T19:33:42Z
1292,204,1,2011-07-02T20:53:35Z
204,1292,1,2011-07-02T20:54:03Z
1277,1293,1,2011-07-02T21:16:20Z
1277,908,1,2011-07-02T21:17:04Z
1277,135,-10,2011-07-02T21:19:24Z
1277,1291,10,2011-07-02T21:19:48Z
1277,905,2,2011-07-02T21:20:44Z
1293,135,-10,2011-07-02T21:28:53Z
1293,1277,4,2011-07-02T21:35:54Z
263,1219,1,2011-07-02T22:10:05Z
540,626,10,2011-07-03T00:06:02Z
626,540,10,2011-07-03T00:08:06Z
1261,1260,10,2011-07-03T05:43:58Z
35,1294,1,2011-07-03T06:01:13Z
35,1295,1,2011-07-03T06:01:25Z
1295,35,1,2011-07-03T07:54:18Z
7,1223,2,2011-07-03T12:38:45Z
452,1270,1,2011-07-03T20:26:20Z
1270,452,1,2011-07-03T20:47:53Z
492,1296,1,2011-07-03T21:02:14Z
452,1297,1,2011-07-03T21:07:13Z
1223,7,2,2011-07-03T23:13:46Z
1131,801,3,2011-07-04T05:55:54Z
1094,1298,1,2011-07-04T05:55:56Z
1298,1094,1,2011-07-04T05:56:37Z
468,1290,1,2011-07-04T09:40:48Z
1290,468,1,2011-07-04T09:41:23Z
492,1299,1,2011-07-04T12:51:41Z
997,1217,8,2011-07-04T13:10:33Z
492,1290,1,2011-07-04T13:15:12Z
492,1300,1,2011-07-04T13:31:04Z
1300,492,1,2011-07-04T13:31:43Z
945,35,4,2011-07-04T13:35:04Z
1277,1268,2,2011-07-04T13:53:42Z
1290,492,1,2011-07-04T13:56:44Z
1299,492,1,2011-07-04T14:05:09Z
1244,1128,1,2011-07-04T14:05:55Z
1207,786,1,2011-07-04T15:27:04Z
1207,1279,1,2011-07-04T15:27:34Z
1128,1244,1,2011-07-04T15:38:32Z
1217,997,8,2011-07-04T17:36:26Z
359,832,-10,2011-07-04T17:59:17Z
905,1267,2,2011-07-04T18:17:55Z
1267,905,1,2011-07-04T18:24:45Z
905,927,1,2011-07-04T18:26:28Z
927,905,3,2011-07-04T18:27:24Z
1094,1301,1,2011-07-04T21:06:50Z
1301,1094,1,2011-07-04T21:09:44Z
270,1301,1,2011-07-04T21:31:43Z
1299,35,1,2011-07-04T23:05:54Z
35,380,1,2011-07-04T23:09:10Z
1301,270,1,2011-07-04T23:14:22Z
875,729,1,2011-07-05T01:14:29Z
729,875,1,2011-07-05T01:14:37Z
1190,1301,1,2011-07-05T03:16:24Z
1301,1190,1,2011-07-05T03:20:34Z
1198,882,4,2011-07-05T06:14:46Z
468,566,10,2011-07-05T11:04:02Z
566,468,2,2011-07-05T11:04:08Z
492,1302,1,2011-07-05T16:53:34Z
1302,492,1,2011-07-05T17:17:36Z
1304,621,1,2011-07-05T19:20:43Z
621,1304,1,2011-07-05T19:20:51Z
1296,222,1,2011-07-05T20:13:48Z
35,1305,1,2011-07-05T22:07:19Z
363,222,1,2011-07-05T22:11:38Z
1236,1306,1,2011-07-06T01:01:06Z
1306,1236,1,2011-07-06T01:22:55Z
388,148,1,2011-07-06T02:08:02Z
1107,465,2,2011-07-06T05:06:00Z
1098,7,10,2011-07-06T10:21:57Z
1305,35,1,2011-07-06T11:40:52Z
634,1174,1,2011-07-06T13:49:44Z
1174,634,1,2011-07-06T13:50:47Z
963,1307,1,2011-07-06T14:11:16Z
1307,963,1,2011-07-06T14:13:37Z
309,832,-10,2011-07-06T19:28:29Z
537,1308,-10,2011-07-06T19:32:49Z
589,350,2,2011-07-06T20:28:29Z
350,589,1,2011-07-06T20:29:03Z
468,546,1,2011-07-06T20:49:02Z
546,468,1,2011-07-06T20:50:15Z
929,1309,1,2011-07-06T22:34:04Z
1053,1310,1,2011-07-06T22:52:03Z
1310,1053,1,2011-07-06T22:55:00Z
1290,1257,1,2011-07-06T23:35:23Z
929,1311,1,2011-07-07T00:00:03Z
1311,929,1,2011-07-07T00:04:29Z
1094,729,1,2011-07-07T01:25:51Z
729,1094,1,2011-07-07T01:26:07Z
729,1308,-10,2011-07-07T02:13:05Z
714,522,2,2011-07-07T04:00:18Z
1053,1290,1,2011-07-07T06:33:45Z
1290,1053,1,2011-07-07T06:35:41Z
729,1290,1,2011-07-07T06:49:40Z
1290,729,1,2011-07-07T06:50:06Z
1309,929,1,2011-07-07T08:00:48Z
1231,1312,1,2011-07-07T11:15:17Z
1312,1231,1,2011-07-07T11:26:23Z
546,1286,1,2011-07-07T13:08:40Z
1286,546,1,2011-07-07T13:44:59Z
1277,832,-10,2011-07-07T15:41:03Z
540,1303,3,2011-07-07T17:41:46Z
1303,540,3,2011-07-07T17:48:51Z
222,1296,1,2011-07-07T18:23:46Z
222,363,1,2011-07-07T18:23:59Z
963,1313,1,2011-07-07T19:07:07Z
1053,521,1,2011-07-07T19:13:37Z
1313,963,1,2011-07-07T19:14:07Z
104,1053,4,2011-07-07T19:16:23Z
521,1053,1,2011-07-07T20:06:33Z
1053,104,3,2011-07-07T20:43:42Z
1053,608,1,2011-07-07T20:45:36Z
608,1053,1,2011-07-07T20:47:17Z
204,1286,1,2011-07-07T20:57:11Z
417,493,5,2011-07-07T21:00:06Z
1286,204,1,2011-07-07T21:14:20Z
770,824,-10,2011-07-08T00:18:47Z
827,824,-10,2011-07-08T00:30:56Z
7,1011,2,2011-07-08T03:31:59Z
1011,7,3,2011-07-08T03:35:43Z
623,824,-10,2011-07-08T06:27:04Z
1119,1065,10,2011-07-08T06:52:14Z
634,917,1,2011-07-08T16:32:23Z
537,824,-10,2011-07-08T17:15:03Z
908,1277,2,2011-07-08T17:42:52Z
1268,1270,1,2011-07-08T20:07:06Z
1270,1268,1,2011-07-08T20:37:42Z
35,1314,1,2011-07-08T21:46:14Z
35,1299,1,2011-07-08T21:46:34Z
882,1315,1,2011-07-08T21:57:35Z
1315,882,1,2011-07-08T22:10:09Z
628,1053,1,2011-07-09T00:06:15Z
1053,628,1,2011-07-09T00:26:55Z
846,1053,1,2011-07-09T02:16:45Z
1053,846,1,2011-07-09T02:18:54Z
270,1316,1,2011-07-09T02:21:47Z
1316,270,1,2011-07-09T02:22:30Z
522,1316,1,2011-07-09T03:30:44Z
1290,1317,1,2011-07-09T05:29:49Z
1317,1290,1,2011-07-09T05:32:10Z
452,1053,1,2011-07-09T06:01:07Z
1053,452,1,2011-07-09T06:01:14Z
729,986,1,2011-07-09T08:00:23Z
986,729,1,2011-07-09T08:00:51Z
468,1252,1,2011-07-09T10:43:45Z
1252,468,1,2011-07-09T10:45:35Z
621,1315,1,2011-07-09T15:06:11Z
1315,621,1,2011-07-09T15:06:18Z
963,708,5,2011-07-09T18:57:06Z
708,963,3,2011-07-09T18:57:59Z
1252,1315,1,2011-07-09T20:44:10Z
1315,1252,1,2011-07-09T20:44:13Z
468,1053,3,2011-07-09T22:57:07Z
1053,468,3,2011-07-09T22:58:17Z
1131,1185,3,2011-07-09T22:58:50Z
1316,522,1,2011-07-10T02:44:17Z
95,35,1,2011-07-10T04:35:44Z
95,415,1,2011-07-10T04:56:16Z
635,1267,1,2011-07-10T08:19:25Z
1267,635,1,2011-07-10T08:20:40Z
1317,1318,1,2011-07-10T11:23:43Z
1318,1317,1,2011-07-10T11:24:11Z
1207,1317,1,2011-07-10T14:01:16Z
1317,1207,2,2011-07-10T14:02:07Z
1094,1319,1,2011-07-10T15:27:19Z
1319,1094,1,2011-07-10T15:28:25Z
239,36,2,2011-07-10T15:45:36Z
1162,1320,1,2011-07-10T17:33:19Z
1320,1162,1,2011-07-10T17:34:14Z
929,1317,1,2011-07-10T17:53:40Z
1317,929,1,2011-07-10T17:53:52Z
1319,1162,1,2011-07-10T18:37:43Z
1162,1319,1,2011-07-10T18:37:53Z
1147,1317,1,2011-07-10T20:47:53Z
882,465,3,2011-07-10T21:41:10Z
1053,1321,1,2011-07-10T22:07:37Z
1321,1053,1,2011-07-10T22:07:58Z
1317,1053,1,2011-07-11T01:49:15Z
1053,1317,1,2011-07-11T02:52:32Z
1053,522,1,2011-07-11T02:58:20Z
1185,536,1,2011-07-11T03:26:07Z
1185,1131,1,2011-07-11T03:27:42Z
537,664,1,2011-07-11T04:31:42Z
923,1053,1,2011-07-11T07:52:21Z
1053,923,1,2011-07-11T07:52:58Z
1312,1322,1,2011-07-11T10:40:37Z
1162,1323,1,2011-07-11T11:56:11Z
1323,1162,1,2011-07-11T11:57:50Z
1310,1295,1,2011-07-11T12:30:29Z
1295,1310,1,2011-07-11T12:31:48Z
641,1324,1,2011-07-11T12:51:16Z
1324,641,3,2011-07-11T12:55:39Z
1315,1162,1,2011-07-11T15:03:23Z
1162,1315,1,2011-07-11T15:03:25Z
1162,1325,1,2011-07-11T15:04:04Z
1322,1312,1,2011-07-11T20:56:08Z
635,1,1,2011-07-11T22:14:02Z
911,1326,10,2011-07-12T04:13:59Z
937,1328,1,2011-07-12T16:34:48Z
1328,937,1,2011-07-12T16:44:40Z
1329,1327,1,2011-07-12T21:16:05Z
36,239,2,2011-07-12T21:55:13Z
1320,1329,-10,2011-07-12T23:39:26Z
635,882,5,2011-07-13T00:38:52Z
1162,1330,1,2011-07-13T00:45:34Z
1330,1162,1,2011-07-13T00:47:20Z
882,1331,2,2011-07-13T02:55:49Z
678,1062,1,2011-07-13T03:04:39Z
920,882,1,2011-07-13T03:52:07Z
882,920,2,2011-07-13T03:53:26Z
882,647,2,2011-07-13T04:47:08Z
647,882,1,2011-07-13T04:47:44Z
1331,882,4,2011-07-13T05:39:23Z
1326,911,10,2011-07-13T11:05:48Z
1312,1332,1,2011-07-13T11:14:59Z
1332,1312,1,2011-07-13T11:34:11Z
937,1319,1,2011-07-13T15:50:54Z
1319,937,1,2011-07-13T15:51:30Z
319,1176,1,2011-07-13T18:21:36Z
1176,319,1,2011-07-13T18:27:28Z
319,1302,1,2011-07-13T18:48:03Z
1302,319,1,2011-07-13T18:50:23Z
1034,1332,2,2011-07-13T19:45:16Z
1332,1034,2,2011-07-13T19:56:44Z
1162,1333,1,2011-07-13T19:57:58Z
270,1115,2,2011-07-13T20:53:11Z
1115,270,2,2011-07-13T20:53:48Z
608,664,1,2011-07-13T23:55:26Z
1312,1292,1,2011-07-14T00:07:59Z
1292,1312,1,2011-07-14T00:26:06Z
144,1239,1,2011-07-14T00:28:49Z
664,608,2,2011-07-14T00:57:17Z
1239,144,1,2011-07-14T01:01:25Z
929,1162,2,2011-07-14T02:07:04Z
1162,929,1,2011-07-14T02:08:30Z
1162,530,1,2011-07-14T02:09:18Z
530,1162,1,2011-07-14T02:37:51Z
7,1335,1,2011-07-14T05:01:45Z
238,1302,1,2011-07-14T05:59:10Z
1217,1336,1,2011-07-14T10:00:49Z
1336,1217,1,2011-07-14T10:02:53Z
113,1053,1,2011-07-14T14:57:43Z
1053,113,2,2011-07-14T14:58:06Z
113,1292,2,2011-07-14T15:47:15Z
1292,113,2,2011-07-14T16:15:46Z
1268,1337,1,2011-07-14T18:19:14Z
1337,1268,1,2011-07-14T18:21:29Z
397,260,-10,2011-07-14T18:37:18Z
978,1332,1,2011-07-14T18:51:56Z
1332,978,1,2011-07-14T19:16:03Z
1162,1332,1,2011-07-14T19:32:35Z
1332,1162,1,2011-07-14T19:47:21Z
1334,664,1,2011-07-14T23:57:18Z
1268,1334,1,2011-07-15T01:51:36Z
1334,1268,1,2011-07-15T01:52:59Z
1268,550,1,2011-07-15T02:15:27Z
550,1268,1,2011-07-15T02:31:27Z
7,1334,1,2011-07-15T02:56:18Z
882,1268,1,2011-07-15T03:16:26Z
1275,1334,1,2011-07-15T06:29:32Z
1334,1275,1,2011-07-15T06:32:27Z
917,634,2,2011-07-15T13:35:55Z
538,729,3,2011-07-15T16:37:44Z
729,538,3,2011-07-15T21:20:45Z
905,1053,2,2011-07-15T21:59:33Z
1053,905,2,2011-07-15T21:59:47Z
729,113,1,2011-07-15T22:16:41Z
113,729,1,2011-07-15T22:20:15Z
1094,1275,1,2011-07-15T23:27:34Z
1275,1094,1,2011-07-15T23:27:46Z
1094,777,2,2011-07-16T00:17:08Z
1334,1094,1,2011-07-16T00:17:58Z
1094,1334,2,2011-07-16T00:19:00Z
1292,1053,2,2011-07-16T00:42:08Z
1053,1292,2,2011-07-16T00:42:44Z
1094,1053,4,2011-07-16T01:19:17Z
1053,1094,4,2011-07-16T01:21:25Z
1094,1292,2,2011-07-16T15:22:47Z
1292,1094,2,2011-07-16T15:24:58Z
1268,1094,10,2011-07-16T19:03:44Z
113,317,1,2011-07-16T19:50:43Z
317,113,1,2011-07-16T19:51:13Z
502,1332,3,2011-07-16T21:51:02Z
1332,502,3,2011-07-16T22:17:41Z
280,1094,1,2011-07-17T01:47:19Z
1268,1053,1,2011-07-17T02:54:10Z
1053,1268,1,2011-07-17T02:56:31Z
937,1338,1,2011-07-17T13:25:36Z
1338,937,1,2011-07-17T13:45:37Z
937,1325,3,2011-07-17T16:19:46Z
1325,937,3,2011-07-17T16:24:15Z
664,537,1,2011-07-17T16:42:33Z
729,350,1,2011-07-17T18:12:47Z
350,729,2,2011-07-17T18:13:13Z
1333,1162,1,2011-07-17T20:35:42Z
468,1268,7,2011-07-18T00:34:57Z
729,530,1,2011-07-18T00:36:48Z
